ID,RA,DEC,TYPE,FLUX_m400,FLUX_m425,FLUX_m450,FLUX_m475,FLUX_m500,FLUX_m525,FLUX_m550,FLUX_m575,FLUX_m600,FLUX_m625,FLUX_m650,FLUX_m675,FLUX_m700,FLUX_m725,FLUX_m800,FLUX_m825,FLUX_m850,FLUX_m875,ELL,Re,THETA
00141,311.18526568,-1.5941482825,STAR,,,,,,,,,,,,,,,,,,,0.0,2.755,4.327980048029518
00142,310.93527767,-1.5994715512,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8049999999999997,-40.18044426721218
00143,311.6145429,-1.5987398935,STAR,,,,,,,,,,,,,,,,,,,0.0,2.971,15.005050640968769
00144,310.91917549,-1.9344525371,STAR,,,,,,,,,,,,,,,,,,,0.0,3.011,13.096149178833032
00145,311.23353957,-1.4750669108,STAR,,,,,,,,,,,,,,,,,,,0.0,2.7735000000000003,-23.560584385257062
00146,310.70470181,-1.4870387076,STAR,,,,,,,,,,,,,,,,,,,0.0,3.051,20.874876071330803
00147,311.28141375,-1.4818528336,STAR,,,,,,,,,,,,,,,,,,,0.0,2.7889999999999997,-48.17679743999141
00148,311.37977966,-1.7185828103,STAR,,,,,,,,,,,,,,,,,,,0.0,2.808,-16.000114106947077
00149,310.87244598,-1.5773347343,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8655,-28.45302692067781
00150,311.51962862,-1.6064885579,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8810000000000002,-17.88516745755495
00151,310.81972533,-2.002440661,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0705,20.707519987592146
00152,310.64602459,-1.6650490311,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1075,-57.18405133686424
00153,311.60228512,-1.6400527722,STAR,,,,,,,,,,,,,,,,,,,0.0,2.966,-11.631550375716396
00154,311.08032215,-1.6572146771,STAR,,,,,,,,,,,,,,,,,,,0.0,2.854,-12.786824980580992
00155,311.49502209,-1.6498092162,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9074999999999998,-9.97454256080953
00156,310.95807885,-1.6588617058,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8179999999999996,-36.77598351330863
00157,311.28191483,-2.0415084037,STAR,,,,,,,,,,,,,,,,,,,0.0,3.023,-12.927758010241511
00158,311.42498448,-2.1270698597,STAR,,,,,,,,,,,,,,,,,,,0.0,3.05,-44.451910056651755
00159,311.46746255,-1.4382834274,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9625000000000004,-29.73526699867107
00160,311.28400562,-1.3418429373,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8979999999999997,-31.76291018559135
00161,310.92590346,-1.9300824738,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0035,8.314545020163065
00162,311.63951304,-1.9393629748,STAR,,,,,,,,,,,,,,,,,,,0.0,3.246,-28.482466581700216
00163,311.26053231,-1.9498037577,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9355,-22.680542278444783
00164,311.55507652,-1.9478175352,STAR,,,,,,,,,,,,,,,,,,,0.0,3.154,-32.564962748713704
00165,311.50935175,-1.9845657858,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0945,-48.82321660968417
00166,311.20835613,-1.3978405914,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8295,-11.150532911357706
00167,310.90761401,-1.3708325528,STAR,,,,,,,,,,,,,,,,,,,0.0,2.966,30.67826752607978
00168,310.69155865,-1.3531740633,STAR,,,,,,,,,,,,,,,,,,,0.0,3.104,-8.570585703671712
00169,311.21587711,-1.3420779889,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9035,-13.681710853620677
00170,311.46124738,-1.3866672782,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9525,-50.24739446210361
00171,310.92389054,-1.3093804532,STAR,,,,,,,,,,,,,,,,,,,0.0,3.064,-9.372158464208363
00172,311.2766463,-1.3558065864,STAR,,,,,,,,,,,,,,,,,,,0.0,2.902,-39.03128015210082
00173,311.11806752,-1.7477487533,STAR,,,,,,,,,,,,,,,,,,,0.0,2.793,-35.53006831877066
00174,310.82154103,-1.7565859704,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9290000000000003,31.650271773785036
00175,310.87049384,-1.5023558264,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9015000000000004,-21.876437815362117
00176,311.22218122,-1.8372421369,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9135,-11.873719620702538
00177,310.94117724,-1.8307905162,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9050000000000002,-23.195365446504205
00178,311.40834352,-1.842624604,STAR,,,,,,,,,,,,,,,,,,,0.0,2.972,-34.550122391626815
00179,311.39641345,-1.3138625637,STAR,,,,,,,,,,,,,,,,,,,0.0,2.99,-43.62772266855855
00180,311.28093115,-1.296091476,STAR,,,,,,,,,,,,,,,,,,,0.0,2.976,-18.63261538257832
00181,311.16635399,-1.8368648408,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8645,2.7478212974999594
00182,311.14864792,-1.8365231851,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9055,16.208418281720117
00183,311.53616326,-1.8920209266,STAR,,,,,,,,,,,,,,,,,,,0.0,3.099,-40.478716887094244
00184,310.90748203,-1.8947401703,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9225000000000003,-17.927168552533427
00185,311.3734141,-1.9095487146,STAR,,,,,,,,,,,,,,,,,,,0.0,3.013,6.485344215482395
00186,311.63130868,-1.9127781023,STAR,,,,,,,,,,,,,,,,,,,0.0,3.16,-45.67505868159623
00187,311.32602155,-1.9230975344,STAR,,,,,,,,,,,,,,,,,,,0.0,2.971,-18.718122229837977
00188,311.00057665,-1.8186712962,STAR,,,,,,,,,,,,,,,,,,,0.0,2.84,-15.221044626328183
00189,311.01944078,-1.8648417411,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8979999999999997,20.350167637463347
00190,311.52322007,-1.891985449,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1055,11.135076713200226
00191,311.38195479,-1.2650622948,STAR,,,,,,,,,,,,,,,,,,,0.0,2.998,-17.83535149901074
00192,310.94235957,-1.7676591617,STAR,,,,,,,,,,,,,,,,,,,0.0,2.84,-30.624025916822955
00193,311.51820726,-1.5466744628,STAR,,,,,,,,,,,,,,,,,,,0.0,2.892,-25.345690506311236
