RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g'mag,e_g'mag,r'mag,e_r'mag,i'mag,e_i'mag
11.172776,40.621741,0.539,0.553,20151767,10,49,0.612,0.081,14.988,0.061,15.599,0.054,15.240,0.051,14.846,0.065,14.740,0.088
11.220783,40.638936,1.100,0.635,20151767,7,30,0.551,0.108,16.278,0.079,16.829,0.073,16.553,0.054,16.116,0.047,16.014,0.286
11.087197,40.624931,0.658,0.493,20151767,10,47,0.592,0.075,15.123,0.053,15.715,0.053,15.368,0.041,14.980,0.061,14.821,0.118
11.099242,40.636529,0.524,0.520,20151767,9,41,1.131,0.160,15.470,0.110,16.601,0.115,16.068,0.035,15.009,0.090,14.668,0.079
11.152234,40.655195,0.244,0.261,20151767,10,50,0.833,0.068,14.067,0.054,14.900,0.041,14.442,0.046,13.825,0.061,13.630,0.048
11.178909,40.649354,0.727,0.607,20151767,9,43,1.120,0.163,15.454,0.089,16.574,0.136,15.980,0.084,15.053,0.060,14.656,0.045
11.186901,40.665524,0.349,0.417,20151767,10,50,0.835,0.092,14.555,0.063,15.390,0.067,14.912,0.050,14.294,0.048,14.065,0.045
11.200277,40.663746,0.182,0.259,20151767,10,50,0.618,0.060,13.944,0.050,14.562,0.034,14.211,0.048,13.771,0.055,13.625,0.033
11.136423,40.682568,1.056,0.602,20151767,9,33,1.140,0.097,15.109,0.053,16.249,0.081,15.664,0.079,14.807,0.106,14.274,0.000
11.038341,40.630095,0.679,1.008,20151767,7,28,0.629,0.114,16.205,0.085,16.835,0.076,16.497,0.039,16.019,0.106,15.821,0.083
10.956717,40.646492,0.063,0.082,20151767,10,50,0.630,0.067,12.305,0.053,12.934,0.041,12.583,0.049,12.137,0.064,11.976,0.039
10.981762,40.657815,0.902,0.798,20121873,4,14,0.883,0.046,16.433,0.029,17.317,0.036,16.885,0.025,16.145,0.153,15.979,0.086
11.011093,40.670494,0.857,0.663,20151767,6,19,0.934,0.000,16.443,0.000,17.377,0.000,16.825,0.058,16.028,0.054,15.721,0.134
10.968681,40.674940,0.398,0.364,20151767,10,47,0.878,0.072,14.906,0.052,15.785,0.050,15.324,0.059,14.628,0.075,14.322,0.069
10.983431,40.693832,0.737,0.543,20151767,9,39,0.981,0.097,15.512,0.072,16.493,0.065,15.956,0.070,15.201,0.072,14.906,0.071
10.996839,40.704104,0.591,0.437,20151767,10,49,0.543,0.069,14.898,0.049,15.441,0.049,15.145,0.058,14.697,0.061,14.497,0.062
11.065715,40.655031,0.227,0.293,20151767,10,50,0.631,0.066,14.415,0.050,15.046,0.042,14.683,0.049,14.257,0.067,14.108,0.053
